id,imageUrl,kcalories,class,llm_food_name,llm_image_class,llm_calories,llm_protein,llm_fat,llm_carbs,llm_weight,llm_confidence,llm_calorie_basis,llm_text_readability,llm_portion_difficulty,llm_error_risk,llm_is_single_item,llm_is_mixed_dish,llm_error
"279","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763367663570.jpg","442","nutrition_label","Овсяное печенье с клюквой","nutrition_label","441.5","10","18.3","59.2","200","high","nutrition_table","high","medium","low","false","false",""
"262","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763290335647.jpg","360","label","Конфеты","product","360.1","8","15","44.9","60","high","package_text","high","low","low","false","false",""
"280","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763377814758.jpg","365","nutrition_label","Сэндвич-ролл с лососем и шпинатом","nutrition_label","365","15.2","16","40","160","high","nutrition_table","high","low","low","true","false",""
"265","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763292529956.jpg","175","nutrition_label","Картофель по-деревенски","nutrition_label","174.6","3.3","5.5","28.2","","high","nutrition_table","high","medium","low","true","false",""
"264","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763292522383.jpg","260","label","Куриные наггетсы","label","260","11.8","14.2","21.3","110","high","package_text","high","low","low","true","false",""
"266","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763312581942.jpg","193","label","Сэндвич-ролл в тортилье с омлетом, курицей и соусом «Ранч»","product","193","9.74","10.63","14.47","210","high","package_text","high","low","low","true","false",""
"267","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763312595496.jpg","200","nutrition_label","Сэндвич-ролл с курицей и соусом Спейси","nutrition_label","200.6","8","9","21.9","180","high","nutrition_table","high","low","low","true","true",""
"269","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763323281335.jpg","116","nutrition_label","Фруктово-ореховый батончик","nutrition_label","116","2.4","2.9","19.4","30","high","nutrition_table","medium","low","low","true","false",""
"263","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763292464615.jpg","52","nutrition_label","Морс ягодный «Клюква»","nutrition_label","51.9","","","12.9","450","high","nutrition_table","high","low","low","true","false",""
"288","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763473146434.jpg","409","label","Пирожные «Профитроли» с сыром рикотта","nutrition_label","408.5","6.9","28.1","32","150","high","nutrition_table","high","low","low","false","true",""
"281","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1763379629463.jpg","176","nutrition_label","Шоколадный батончик","nutrition_label","294","","33","53","60","medium","nutrition_table","medium","low","low","true","false",""
"282","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763414742774.jpg","210","nutrition_label","Блинчики с малиной и клубникой","nutrition_label","210","5","9","27","210","high","nutrition_table","high","low","low","false","false",""
"284","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763456330457.jpg","150","product","Жареный рис с яйцом","product","250","8","10","30","250","medium","visual_estimate","none","low","medium","false","true",""
"286","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763456999983.jpg","440","nutrition_label","Протеиновый батончик","nutrition_label","141","8.9","3.7","7.3","32","high","nutrition_table","medium","low","low","true","false",""
"289","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763656113815.jpg","","label","не еда","non_edible","","","","","","low","visual_estimate","none","low","high","false","false",""
"290","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763656149683.jpg","","product","Неизвестный напиток в бутылке","product","","","","","","low","visual_estimate","none","medium","high","true","false",""
"291","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763656175666.jpg","","label","","","","","","","","","","","","","","","parse_error"
"293","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763656228508.jpg","","label","","","","","","","","","","","","","","","parse_error"
"299","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1763726277158.jpg","10","non_edible","","","","","","","","","","","","","","",""
"300","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1763997112405.jpg","405","nutrition_label","Пищевая ценность","nutrition_label","405","7.9","25.8","35.3","","high","nutrition_table","high","medium","low","true","false",""
"315","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1764707827784.jpg","147","error","","","","","","","","","","","","","","",""
"323","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1764753736718.jpg","350","error","","","","","","","","","","","","","","",""
"343","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1764790826743.jpg","185","error","","","","","","","","","","","","","","",""
"345","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1764845600026.jpg","200","error","","","","","","","","","","","","","","",""
"346","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1764845626057.jpg","100","error","","","","","","","","","","","","","","",""
"347","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1765106664157.jpg","251","error","","","","","","","","","","","","","","",""
"389","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765903266230.jpg","535","nutrition_label","Соломка в глазури с миндалем","nutrition_label","535","11","32","53","36","high","nutrition_table","high","low","low","true","false",""
"349","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1765383340478.jpg","217","error","","","","","","","","","","","","","","",""
"350","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1765383352675.jpg","75","error","","","","","","","","","","","","","","",""
"351","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1765553492931.jpg","474","error","","","","","","","","","","","","","","",""
"352","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1765553531046.jpg","417","error","","","","","","","","","","","","","","",""
"353","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1765636735814.jpg","504","error","","","","","","","","","","","","","","",""
"355","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765786633240.jpg","187","nutrition_label","Блины с семгой","nutrition_label","186.9","11.4","8.9","15.3","150","high","nutrition_table","high","low","low","true","false",""
"357","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765799821053.jpg","202","nutrition_label","Онигири с натуральным крабом","nutrition_label","202.2","7","3.4","35.4","120","high","nutrition_table","high","medium","low","true","false",""
"359","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765802308208.jpg","130","nutrition_label","неизвестный продукт","nutrition_label","130","4","5","17","100","high","nutrition_table","medium","low","low","false","false",""
"377","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1765829334597.jpg","104","error","","","","","","","","","","","","","","",""
"378","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765833457745.jpg","430","nutrition_label","Кукурузно-рисовые чипсы с вялеными томатами и бальзамиком","nutrition_label","430","6.5","9","81","","high","nutrition_table","medium","medium","low","true","false",""
"367","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765808697317.jpg","488","label","Печенье сдобное Курабье","label","487.7","5.4","24.5","62.1","300","high","nutrition_table","high","medium","low","false","false",""
"368","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765809241662.jpg","450","nutrition_label","Конфеты сбивные глазированные ""La Boheme"" Муале","nutrition_label","450","3","24","55","100","high","nutrition_table","high","low","low","false","false",""
"361","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765806051364.jpg","41","nutrition_label","Холодец говяжий","nutrition_label","40.7","9.3","0.3","0.2","300","high","nutrition_table","high","low","low","true","false",""
"375","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1765827390559.jpg","350","error","","","","","","","","","","","","","","",""
"366","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765808591129.jpg","350","nutrition_label","Рахат-лукум с орехами МИКС ПРЕМИУМ","nutrition_label","350","0.5","2.5","84","500","high","nutrition_table","high","medium","low","false","true",""
"379","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765874214205.jpg","560","nutrition_label","Тёмный шоколад с апельсином и вишней","nutrition_label","560","6","36","50","85","high","nutrition_table","high","medium","low","true","false",""
"381","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765881932077.jpg","188","nutrition_label","Блины с грушей и мягким сыром","nutrition_label","188.3","5.5","5.3","29.7","160","high","nutrition_table","high","low","low","true","true",""
"385","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765892185643.jpg","218","nutrition_label","Лепешка с сыром и омлетом","nutrition_label","217.8","11.7","8.6","23.4","130","high","nutrition_table","high","low","low","true","true",""
"475","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766350530651.jpg","327","nutrition_label","Жевательные червячки Docile","nutrition_label","131","2","0","31","40","high","nutrition_table","high","low","low","true","false",""
"410","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765991369462.jpg","368","nutrition_label","молочные составные","nutrition_label","368.3","6.4","25.5","28.3","100","high","nutrition_table","high","medium","low","false","true",""
"411","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1765992202343.jpg","209","error","","","","","","","","","","","","","","",""
"393","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765904081113.jpg","416","label","Конфеты глазированные ""Лёвушка"" суфле и карамель","product","416","2.4","","","42","high","package_text","high","low","low","true","false",""
"398","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765915509591.jpg","91","nutrition_label","Исландский скир с черникой и малиной","nutrition_label","90.8","9.3","1.2","10.7","100","high","nutrition_table","high","low","low","true","false",""
"401","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765962002849.jpg","326","nutrition_label","Сосиски в тесте ""Мини""","nutrition_label","326","11.1","18.4","29","90","high","nutrition_table","high","high","low","false","true",""
"402","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765962115061.jpg","370","nutrition_label","пирожное миндальное макарон шоколадный","nutrition_label","370","6.5","18","45","60","high","nutrition_table","high","low","low","true","false",""
"405","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765970609304.jpg","382","nutrition_label","Торт «Брауни»","nutrition_label","381.9","3.1","32.3","19.7","500","high","nutrition_table","high","low","low","true","true",""
"408","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765990551164.jpg","45","nutrition_label","Грузинский Суп из Фасоли","nutrition_label","122","4.86","3.51","17.82","270","high","nutrition_table","high","low","low","true","true",""
"409","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1765991204731.jpg","176","label","Онигири с угрём и творожным сыром","product","193","5.3","8.5","21","110","high","package_text","high","low","low","true","false",""
"422","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1766060855120.jpg","239","error","","","","","","","","","","","","","","",""
"414","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766001730722.jpg","124","label","Йогурт с массовой долей жира 4,0 %, со злаковыми шариками со вкусом бабл-гам и злаковыми шариками в белой шоколадной глазури","nutrition_label","124","3.3","4.3","18.1","101","high","nutrition_table","high","low","low","true","false",""
"415","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766002695129.jpg","120","nutrition_label","Йогурт с лимоном Epica Crispy и смесь из семян тыквы, печенья бискотти и белого шоколада","nutrition_label","120","5.7","4.8","13","","high","nutrition_table","high","medium","low","true","false",""
"416","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766002731225.jpg","520","nutrition_label","Смесь из тыквенных семян и печенья","nutrition_label","520","12","32","46","100","high","nutrition_table","high","medium","low","false","true",""
"417","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766004430939.jpg","240","label","мороженое","nutrition_label","240","","14","26","100","high","nutrition_table","high","low","low","true","false",""
"418","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766048119020.jpg","141","nutrition_label","Запеканка творожная с грушей","nutrition_label","140.9","10.2","2.5","19.4","","high","nutrition_table","high","medium","low","true","false",""
"423","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/1cb31d81-ddea-4f5e-bbd9-758f10ffb845/photo-1766062494495.jpg","234","error","","","","","","","","","","","","","","",""
"426","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766062784869.jpg","319","nutrition_label","Протеиновый батончик Bombbar Cookies & Cream","nutrition_label","191","20","6.1","4.1","60","high","nutrition_table","high","low","low","true","false",""
"427","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766062808206.jpg","309","nutrition_label","Датское печенье","nutrition_label","309","33","8.5","8","","high","nutrition_table","high","low","low","true","false",""
"425","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766062739517.jpg","234","nutrition_label","Блины домашние","nutrition_label","234.3","7.4","10.3","28","1000","high","nutrition_table","high","low","low","true","false",""
"751","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1768079573566.jpg","350","nutrition_label","Желейный мармелад","nutrition_label","350","6.5","0.2","80","70","high","nutrition_table","high","low","low","true","false",""
"429","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766070235730.jpg","140","label","Блинчики тыквенные с картофелем и грибами","product","140.3","3.7","7.5","14.5","160","high","package_text","high","medium","low","false","true",""
"432","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766070686199.jpg","270","nutrition_label","Конфи Апельсин","nutrition_label","269.6","5.1","16.4","25.4","","high","nutrition_table","medium","medium","low","true","false",""
"434","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766074938565.jpg","176","nutrition_label","Bombbar Brownie батончик","nutrition_label","294","33","9","8","60","high","nutrition_table","high","low","low","true","false",""
"435","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766085682954.jpg","74","label","Вегетарианский суп Том Ям","product","74.3","1.4","4.3","7.5","270","high","package_text","high","low","low","true","false",""
"436","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766085760346.jpg","103","nutrition_label","биогурт","nutrition_label","103","3.9","2.9","15.2","130","high","nutrition_table","high","low","low","true","false",""
"442","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766125772347.jpg","244","nutrition_label","Круассан с форелью, творожным сыром и соусом песто","nutrition_label","243.7","8.8","14.9","18.6","140","high","nutrition_table","high","low","low","true","true",""
"447","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766161775201.jpg","127","nutrition_label","Батончик MyFitKit","nutrition_label","127","7","5","18","45","high","nutrition_table","high","low","low","true","false",""
"451","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766223449239.jpg","170","nutrition_label","Сырники творожные с яблочной начинкой","nutrition_label","170.1","11.7","5.3","18.9","130","high","nutrition_table","high","low","low","true","false",""
"456","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766246673390.jpg","233","nutrition_label","Пирожок с зеленью и яйцом на кефирном тесте","nutrition_label","116.65","3.5","4.05","16.55","50","high","nutrition_table","high","low","low","true","false",""
"459","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766254666766.jpg","288","label","мини-чиабатта с курицей, моцареллой и соусом острый чили","product","287.8","10","14.6","29.1","125","high","nutrition_table","high","low","low","true","true",""
"461","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766261922596.jpg","297","label","Зефир ремесленный Черная смородина","label","297.1","2.9","0.3","70.7","120","high","package_text","high","low","low","true","false",""
"464","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766309723288.jpg","350","nutrition_label","Протеиновый батончик","nutrition_label","140","10","6.3","3.3","40","high","nutrition_table","high","low","low","true","false",""
"465","https://gwhqshlpglptxsexagcz.supabase.co/storage/v1/object/public/images/6a8cf369-8209-4a7e-beb4-7578374b0aee/photo-1766309915546.jpg","391","nutrition_label","Протеиновый батончик","nutrition_label","157","10","6.8","6.4","40","high","nutrition_table","high","low","low","true","false",""
